onset	duration	sample	trial_type	response_time	stim_file	value
601.7320000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
601.8020000000	n/a	n/a	FB: +1	n/a	n/a	S  8
603.8860000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
604.5980000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
606.7060000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
607.1860000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
609.2920000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
609.9340000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
612.0440000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
612.4700000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
614.5780000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
615.0100000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
615.0780000000	n/a	n/a	FB: +1	n/a	n/a	S  8
617.1640000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
617.6340000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
617.6980000000	n/a	n/a	FB: 0	n/a	n/a	S  9
619.7820000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
620.3580000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
620.4160000000	n/a	n/a	FB: +1	n/a	n/a	S  8
622.5020000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
623.1060000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
623.1680000000	n/a	n/a	FB: 0	n/a	n/a	S  9
625.2540000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
626.0540000000	n/a	n/a	Trn No Response	n/a	n/a	S105
628.1560000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
628.8300000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
628.8900000000	n/a	n/a	FB: +1	n/a	n/a	S  8
630.9740000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
631.7140000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
631.7760000000	n/a	n/a	FB: 0	n/a	n/a	S  9
